PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,Right_LastEditedBy,Right_LastEditedWhen
357,4,2013-08-01,7,2,2013-08-21,293092,1,NULL,NULL,18,2013-08-02 07:00:00.0000000,1409,77,477,"""The Gu"" red shirt XML tag t-shirt (White) XXS",477,6,84,2013-08-02,1,18,2013-08-02 07:00:00.0000000
357,4,2013-08-01,7,2,2013-08-21,293092,1,NULL,NULL,18,2013-08-02 07:00:00.0000000,1410,78,670,"""The Gu"" red shirt XML tag t-shirt (White) XS",670,6,84,2013-08-02,1,18,2013-08-02 07:00:00.0000000
357,4,2013-08-01,7,2,2013-08-21,293092,1,NULL,NULL,18,2013-08-02 07:00:00.0000000,1411,80,268,"""The Gu"" red shirt XML tag t-shirt (White) M",268,6,84,2013-08-02,1,18,2013-08-02 07:00:00.0000000
357,4,2013-08-01,7,2,2013-08-21,293092,1,NULL,NULL,18,2013-08-02 07:00:00.0000000,1412,86,512,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",512,6,96,2013-08-02,1,18,2013-08-02 07:00:00.0000000
357,4,2013-08-01,7,2,2013-08-21,293092,1,NULL,NULL,18,2013-08-02 07:00:00.0000000,1413,95,272,"""The Gu"" red shirt XML tag t-shirt (Black) XL",272,6,90,2013-08-02,1,18,2013-08-02 07:00:00.0000000
357,4,2013-08-01,7,2,2013-08-21,293092,1,NULL,NULL,18,2013-08-02 07:00:00.0000000,1414,98,521,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",521,6,96,2013-08-02,1,18,2013-08-02 07:00:00.0000000
358,7,2013-08-01,2,2,2013-08-21,BC0280982,1,NULL,NULL,18,2013-08-02 07:00:00.0000000,1415,193,158,Black and orange glass with care despatch tape 48mmx75m,158,7,38.4,2013-08-02,1,18,2013-08-02 07:00:00.0000000
358,7,2013-08-01,2,2,2013-08-21,BC0280982,1,NULL,NULL,18,2013-08-02 07:00:00.0000000,1416,204,120,Tape dispenser (Red),120,7,170,2013-08-02,1,18,2013-08-02 07:00:00.0000000
359,4,2013-08-02,7,2,2013-08-22,293092,1,NULL,NULL,13,2013-08-05 07:00:00.0000000,1417,77,484,"""The Gu"" red shirt XML tag t-shirt (White) XXS",484,6,84,2013-08-05,1,13,2013-08-05 07:00:00.0000000
359,4,2013-08-02,7,2,2013-08-22,293092,1,NULL,NULL,13,2013-08-05 07:00:00.0000000,1418,78,679,"""The Gu"" red shirt XML tag t-shirt (White) XS",679,6,84,2013-08-05,1,13,2013-08-05 07:00:00.0000000
