PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,Right_LastEditedBy,Right_LastEditedWhen
1510,4,2015-07-01,7,2,2015-07-21,293092,1,NULL,NULL,6,00:00.0,6025,77,2465,"""The Gu"" red shirt XML tag t-shirt (White) XXS",863,6,84,2015-07-02,1,6,00:00.0
1510,4,2015-07-01,7,2,2015-07-21,293092,1,NULL,NULL,6,00:00.0,6026,78,2508,"""The Gu"" red shirt XML tag t-shirt (White) XS",878,6,84,2015-07-02,1,6,00:00.0
1510,4,2015-07-01,7,2,2015-07-21,293092,1,NULL,NULL,6,00:00.0,6027,80,1187,"""The Gu"" red shirt XML tag t-shirt (White) M",415,6,84,2015-07-02,1,6,00:00.0
1510,4,2015-07-01,7,2,2015-07-21,293092,1,NULL,NULL,6,00:00.0,6028,86,2469,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",864,6,96,2015-07-02,1,6,00:00.0
1510,4,2015-07-01,7,2,2015-07-21,293092,1,NULL,NULL,6,00:00.0,6029,95,1285,"""The Gu"" red shirt XML tag t-shirt (Black) XL",450,6,90,2015-07-02,1,6,00:00.0
1510,4,2015-07-01,7,2,2015-07-21,293092,1,NULL,NULL,6,00:00.0,6030,98,2584,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",904,6,96,2015-07-02,1,6,00:00.0
1511,7,2015-07-01,2,2,2015-07-21,BC0280982,1,NULL,NULL,6,00:00.0,6031,184,992,Shipping carton (Brown) 305x305x305mm,992,7,47.5,2015-07-02,1,6,00:00.0
1511,7,2015-07-01,2,2,2015-07-21,BC0280982,1,NULL,NULL,6,00:00.0,6032,193,1914,Black and orange glass with care despatch tape 48mmx75m,1914,7,38.4,2015-07-02,1,6,00:00.0
1511,7,2015-07-01,2,2,2015-07-21,BC0280982,1,NULL,NULL,6,00:00.0,6033,204,2173,Tape dispenser (Red),2173,7,170,2015-07-02,1,6,00:00.0
1512,4,2015-07-02,7,2,2015-07-22,293092,1,NULL,NULL,11,00:00.0,6034,77,2472,"""The Gu"" red shirt XML tag t-shirt (White) XXS",2472,6,84,2015-07-03,1,11,00:00.0
1512,4,2015-07-02,7,2,2015-07-22,293092,1,NULL,NULL,11,00:00.0,6035,78,2515,"""The Gu"" red shirt XML tag t-shirt (White) XS",2515,6,84,2015-07-03,1,11,00:00.0
1512,4,2015-07-02,7,2,2015-07-22,293092,1,NULL,NULL,11,00:00.0,6036,80,1183,"""The Gu"" red shirt XML tag t-shirt (White) M",1183,6,84,2015-07-03,1,11,00:00.0
1512,4,2015-07-02,7,2,2015-07-22,293092,1,NULL,NULL,11,00:00.0,6037,86,2481,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",2481,6,96,2015-07-03,1,11,00:00.0
1512,4,2015-07-02,7,2,2015-07-22,293092,1,NULL,NULL,11,00:00.0,6038,95,1281,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1281,6,90,2015-07-03,1,11,00:00.0
1512,4,2015-07-02,7,2,2015-07-22,293092,1,NULL,NULL,11,00:00.0,6039,98,2583,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",2583,6,96,2015-07-03,1,11,00:00.0
1513,7,2015-07-02,2,2,2015-07-22,BC0280982,1,NULL,NULL,11,00:00.0,6040,184,995,Shipping carton (Brown) 305x305x305mm,995,7,47.5,2015-07-03,1,11,00:00.0
1513,7,2015-07-02,2,2,2015-07-22,BC0280982,1,NULL,NULL,11,00:00.0,6041,193,1922,Black and orange glass with care despatch tape 48mmx75m,1922,7,38.4,2015-07-03,1,11,00:00.0
1513,7,2015-07-02,2,2,2015-07-22,BC0280982,1,NULL,NULL,11,00:00.0,6042,204,2171,Tape dispenser (Red),2171,7,170,2015-07-03,1,11,00:00.0
1514,4,2015-07-03,7,2,2015-07-23,293092,1,NULL,NULL,6,00:00.0,6043,77,2473,"""The Gu"" red shirt XML tag t-shirt (White) XXS",2473,6,84,2015-07-06,1,6,00:00.0
1514,4,2015-07-03,7,2,2015-07-23,293092,1,NULL,NULL,6,00:00.0,6044,78,2516,"""The Gu"" red shirt XML tag t-shirt (White) XS",2516,6,84,2015-07-06,1,6,00:00.0
1514,4,2015-07-03,7,2,2015-07-23,293092,1,NULL,NULL,6,00:00.0,6045,80,1184,"""The Gu"" red shirt XML tag t-shirt (White) M",1184,6,84,2015-07-06,1,6,00:00.0
1514,4,2015-07-03,7,2,2015-07-23,293092,1,NULL,NULL,6,00:00.0,6046,86,2489,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",2489,6,96,2015-07-06,1,6,00:00.0
