PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,Right_LastEditedBy,Right_LastEditedWhen
805,4,2014-05-01,7,2,2014-05-21,293092,1,NULL,NULL,19,2014-05-02 07:00:00.0000000,3080,77,1130,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1130,6,84,2014-05-02,1,19,2014-05-02 07:00:00.0000000
805,4,2014-05-01,7,2,2014-05-21,293092,1,NULL,NULL,19,2014-05-02 07:00:00.0000000,3081,78,1216,"""The Gu"" red shirt XML tag t-shirt (White) XS",1216,6,84,2014-05-02,1,19,2014-05-02 07:00:00.0000000
805,4,2014-05-01,7,2,2014-05-21,293092,1,NULL,NULL,19,2014-05-02 07:00:00.0000000,3082,80,544,"""The Gu"" red shirt XML tag t-shirt (White) M",544,6,84,2014-05-02,1,19,2014-05-02 07:00:00.0000000
805,4,2014-05-01,7,2,2014-05-21,293092,1,NULL,NULL,19,2014-05-02 07:00:00.0000000,3083,86,1193,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1193,6,96,2014-05-02,1,19,2014-05-02 07:00:00.0000000
805,4,2014-05-01,7,2,2014-05-21,293092,1,NULL,NULL,19,2014-05-02 07:00:00.0000000,3084,95,692,"""The Gu"" red shirt XML tag t-shirt (Black) XL",692,6,90,2014-05-02,1,19,2014-05-02 07:00:00.0000000
805,4,2014-05-01,7,2,2014-05-21,293092,1,NULL,NULL,19,2014-05-02 07:00:00.0000000,3085,98,1367,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1367,6,96,2014-05-02,1,19,2014-05-02 07:00:00.0000000
806,7,2014-05-01,2,2,2014-05-21,BC0280982,1,NULL,NULL,19,2014-05-02 07:00:00.0000000,3086,193,707,Black and orange glass with care despatch tape 48mmx75m,707,7,38.4,2014-05-02,1,19,2014-05-02 07:00:00.0000000
806,7,2014-05-01,2,2,2014-05-21,BC0280982,1,NULL,NULL,19,2014-05-02 07:00:00.0000000,3087,204,915,Tape dispenser (Red),915,7,170,2014-05-02,1,19,2014-05-02 07:00:00.0000000
807,4,2014-05-02,7,2,2014-05-22,293092,1,NULL,NULL,15,2014-05-05 07:00:00.0000000,3088,77,1144,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1144,6,84,2014-05-05,1,15,2014-05-05 07:00:00.0000000
807,4,2014-05-02,7,2,2014-05-22,293092,1,NULL,NULL,15,2014-05-05 07:00:00.0000000,3089,78,1216,"""The Gu"" red shirt XML tag t-shirt (White) XS",1216,6,84,2014-05-05,1,15,2014-05-05 07:00:00.0000000
