PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,Right_LastEditedBy,Right_LastEditedWhen
2025,4,2016-05-02,7,2,2016-05-22,293092,1,NULL,NULL,10,2016-05-03 07:00:00.0000000,8158,77,3265,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3265,6,84,2016-05-03,1,10,2016-05-03 07:00:00.0000000
2025,4,2016-05-02,7,2,2016-05-22,293092,1,NULL,NULL,10,2016-05-03 07:00:00.0000000,8159,78,3599,"""The Gu"" red shirt XML tag t-shirt (White) XS",3599,6,84,2016-05-03,1,10,2016-05-03 07:00:00.0000000
2025,4,2016-05-02,7,2,2016-05-22,293092,1,NULL,NULL,10,2016-05-03 07:00:00.0000000,8160,80,1745,"""The Gu"" red shirt XML tag t-shirt (White) M",1745,6,84,2016-05-03,1,10,2016-05-03 07:00:00.0000000
2025,4,2016-05-02,7,2,2016-05-22,293092,1,NULL,NULL,10,2016-05-03 07:00:00.0000000,8161,86,3657,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3657,6,96,2016-05-03,1,10,2016-05-03 07:00:00.0000000
2025,4,2016-05-02,7,2,2016-05-22,293092,1,NULL,NULL,10,2016-05-03 07:00:00.0000000,8162,95,1747,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1747,6,90,2016-05-03,1,10,2016-05-03 07:00:00.0000000
2025,4,2016-05-02,7,2,2016-05-22,293092,1,NULL,NULL,10,2016-05-03 07:00:00.0000000,8163,98,3640,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3640,6,96,2016-05-03,1,10,2016-05-03 07:00:00.0000000
2026,7,2016-05-02,2,2,2016-05-22,BC0280982,1,NULL,NULL,10,2016-05-03 07:00:00.0000000,8164,184,1584,Shipping carton (Brown) 305x305x305mm,1584,7,47.5,2016-05-03,1,10,2016-05-03 07:00:00.0000000
2026,7,2016-05-02,2,2,2016-05-22,BC0280982,1,NULL,NULL,10,2016-05-03 07:00:00.0000000,8165,193,2701,Black and orange glass with care despatch tape 48mmx75m,2701,7,38.4,2016-05-03,1,10,2016-05-03 07:00:00.0000000
2026,7,2016-05-02,2,2,2016-05-22,BC0280982,1,NULL,NULL,10,2016-05-03 07:00:00.0000000,8166,204,3162,Tape dispenser (Red),3162,7,170,2016-05-03,1,10,2016-05-03 07:00:00.0000000
2027,4,2016-05-03,7,2,2016-05-23,293092,1,NULL,NULL,18,2016-05-04 07:00:00.0000000,8167,77,3296,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3296,6,84,2016-05-04,1,18,2016-05-04 07:00:00.0000000
2027,4,2016-05-03,7,2,2016-05-23,293092,1,NULL,NULL,18,2016-05-04 07:00:00.0000000,8168,78,3597,"""The Gu"" red shirt XML tag t-shirt (White) XS",3597,6,84,2016-05-04,1,18,2016-05-04 07:00:00.0000000
2027,4,2016-05-03,7,2,2016-05-23,293092,1,NULL,NULL,18,2016-05-04 07:00:00.0000000,8169,80,1741,"""The Gu"" red shirt XML tag t-shirt (White) M",1741,6,84,2016-05-04,1,18,2016-05-04 07:00:00.0000000
2027,4,2016-05-03,7,2,2016-05-23,293092,1,NULL,NULL,18,2016-05-04 07:00:00.0000000,8170,86,3655,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",3655,6,96,2016-05-04,1,18,2016-05-04 07:00:00.0000000
2027,4,2016-05-03,7,2,2016-05-23,293092,1,NULL,NULL,18,2016-05-04 07:00:00.0000000,8171,95,1743,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1743,6,90,2016-05-04,1,18,2016-05-04 07:00:00.0000000
2027,4,2016-05-03,7,2,2016-05-23,293092,1,NULL,NULL,18,2016-05-04 07:00:00.0000000,8172,98,3645,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3645,6,96,2016-05-04,1,18,2016-05-04 07:00:00.0000000
2028,7,2016-05-03,2,2,2016-05-23,BC0280982,1,NULL,NULL,18,2016-05-04 07:00:00.0000000,8173,184,1593,Shipping carton (Brown) 305x305x305mm,1593,7,47.5,2016-05-04,1,18,2016-05-04 07:00:00.0000000
2028,7,2016-05-03,2,2,2016-05-23,BC0280982,1,NULL,NULL,18,2016-05-04 07:00:00.0000000,8174,193,2709,Black and orange glass with care despatch tape 48mmx75m,2709,7,38.4,2016-05-04,1,18,2016-05-04 07:00:00.0000000
2028,7,2016-05-03,2,2,2016-05-23,BC0280982,1,NULL,NULL,18,2016-05-04 07:00:00.0000000,8175,204,3172,Tape dispenser (Red),3172,7,170,2016-05-04,1,18,2016-05-04 07:00:00.0000000
2029,4,2016-05-04,7,2,2016-05-24,293092,1,NULL,NULL,13,2016-05-05 07:00:00.0000000,8176,77,3300,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3300,6,84,2016-05-05,1,13,2016-05-05 07:00:00.0000000
